job_id,utt_id,variant,text,label,target_word,target_pron_clean,notes,output_wav_template
job0025,utt009,orig,মই ক'বা বুলি ক'লো,AgrYes_MixYes,ক'বা,,,{system}/orig/utt009.wav
job0026,utt009,no_apostrophe,মই ক'বা বুলি কলো,AgrYes_MixYes,ক'বা,,,{system}/no_apostrophe/utt009.wav
job0027,utt009,target_only,ক'বা,AgrYes_MixYes,ক'বা,,,{system}/target_only/utt009.wav
job0028,utt010,orig,মই এনেতে বুলি ক'লো,AgrYes_MixNo,এনেতে,,,{system}/orig/utt010.wav
job0029,utt010,no_apostrophe,মই এনেতে বুলি কলো,AgrYes_MixNo,এনেতে,,,{system}/no_apostrophe/utt010.wav
job0030,utt010,target_only,এনেতে,AgrYes_MixNo,এনেতে,,,{system}/target_only/utt010.wav
job0031,utt011,orig,মই এনেয়ে বুলি ক'লো,AgrYes_MixNo,এনেয়ে,,,{system}/orig/utt011.wav
job0032,utt011,no_apostrophe,মই এনেয়ে বুলি কলো,AgrYes_MixNo,এনেয়ে,,,{system}/no_apostrophe/utt011.wav
job0033,utt011,target_only,এনেয়ে,AgrYes_MixNo,এনেয়ে,,,{system}/target_only/utt011.wav
job0034,utt012,orig,মই এনেয়েও বুলি ক'লো,AgrYes_MixNo,এনেয়েও,,,{system}/orig/utt012.wav
job0035,utt012,no_apostrophe,মই এনেয়েও বুলি কলো,AgrYes_MixNo,এনেয়েও,,,{system}/no_apostrophe/utt012.wav
job0036,utt012,target_only,এনেয়েও,AgrYes_MixNo,এনেয়েও,,,{system}/target_only/utt012.wav
job0037,utt013,orig,মই জোকাৰি বুলি ক'লো,AgrNo_MixYes,জোকাৰি,,,{system}/orig/utt013.wav
job0038,utt013,no_apostrophe,মই জোকাৰি বুলি কলো,AgrNo_MixYes,জোকাৰি,,,{system}/no_apostrophe/utt013.wav
job0039,utt013,target_only,জোকাৰি,AgrNo_MixYes,জোকাৰি,,,{system}/target_only/utt013.wav
job0040,utt014,orig,মই ইফালে বুলি ক'লো,AgrNo_MixYes,ইফালে,,,{system}/orig/utt014.wav
job0041,utt014,no_apostrophe,মই ইফালে বুলি কলো,AgrNo_MixYes,ইফালে,,,{system}/no_apostrophe/utt014.wav
job0042,utt014,target_only,ইফালে,AgrNo_MixYes,ইফালে,,,{system}/target_only/utt014.wav
job0043,utt015,orig,মই ইফালৰ বুলি ক'লো,AgrNo_MixYes,ইফালৰ,,,{system}/orig/utt015.wav
job0044,utt015,no_apostrophe,মই ইফালৰ বুলি কলো,AgrNo_MixYes,ইফালৰ,,,{system}/no_apostrophe/utt015.wav
job0045,utt015,target_only,ইফালৰ,AgrNo_MixYes,ইফালৰ,,,{system}/target_only/utt015.wav
job0046,utt016,orig,মই কৰিছিলি বুলি ক'লো,AgrYes_MixNo,কৰিছিলি,,,{system}/orig/utt016.wav
job0047,utt016,no_apostrophe,মই কৰিছিলি বুলি কলো,AgrYes_MixNo,কৰিছিলি,,,{system}/no_apostrophe/utt016.wav
job0048,utt016,target_only,কৰিছিলি,AgrYes_MixNo,কৰিছিলি,,,{system}/target_only/utt016.wav
job0049,utt017,orig,মই কৰিছিলে বুলি ক'লো,AgrYes_MixYes,কৰিছিলে,,,{system}/orig/utt017.wav
job0050,utt017,no_apostrophe,মই কৰিছিলে বুলি কলো,AgrYes_MixYes,কৰিছিলে,,,{system}/no_apostrophe/utt017.wav
job0051,utt017,target_only,কৰিছিলে,AgrYes_MixYes,কৰিছিলে,,,{system}/target_only/utt017.wav
job0052,utt018,orig,মই কৰিছিলো বুলি ক'লো,AgrYes_MixNo,কৰিছিলো,,,{system}/orig/utt018.wav
job0053,utt018,no_apostrophe,মই কৰিছিলো বুলি কলো,AgrYes_MixNo,কৰিছিলো,,,{system}/no_apostrophe/utt018.wav
job0054,utt018,target_only,কৰিছিলো,AgrYes_MixNo,কৰিছিলো,,,{system}/target_only/utt018.wav
job0055,utt019,orig,মই গোটেইকেইটা বুলি ক'লো,AgrYes_MixYes,গোটেইকেইটা,,,{system}/orig/utt019.wav
job0056,utt019,no_apostrophe,মই গোটেইকেইটা বুলি কলো,AgrYes_MixYes,গোটেইকেইটা,,,{system}/no_apostrophe/utt019.wav
job0057,utt019,target_only,গোটেইকেইটা,AgrYes_MixYes,গোটেইকেইটা,,,{system}/target_only/utt019.wav
job0058,utt020,orig,মই গোটেইখিনি বুলি ক'লো,AgrYes_MixNo,গোটেইখিনি,,,{system}/orig/utt020.wav
job0059,utt020,no_apostrophe,মই গোটেইখিনি বুলি কলো,AgrYes_MixNo,গোটেইখিনি,,,{system}/no_apostrophe/utt020.wav
job0060,utt020,target_only,গোটেইখিনি,AgrYes_MixNo,গোটেইখিনি,,,{system}/target_only/utt020.wav
job0061,utt021,orig,মই নকৰিলে বুলি ক'লো,AgrYes_MixNo,নকৰিলে,,,{system}/orig/utt021.wav
job0062,utt021,no_apostrophe,মই নকৰিলে বুলি কলো,AgrYes_MixNo,নকৰিলে,,,{system}/no_apostrophe/utt021.wav
job0063,utt021,target_only,নকৰিলে,AgrYes_MixNo,নকৰিলে,,,{system}/target_only/utt021.wav
job0064,utt022,orig,মই নকৰিলেও বুলি ক'লো,AgrYes_MixYes,নকৰিলেও,,,{system}/orig/utt022.wav
job0065,utt022,no_apostrophe,মই নকৰিলেও বুলি কলো,AgrYes_MixYes,নকৰিলেও,,,{system}/no_apostrophe/utt022.wav
job0066,utt022,target_only,নকৰিলেও,AgrYes_MixYes,নকৰিলেও,,,{system}/target_only/utt022.wav
job0067,utt023,orig,মই নকৰিলো বুলি ক'লো,AgrYes_MixNo,নকৰিলো,,,{system}/orig/utt023.wav
job0068,utt023,no_apostrophe,মই নকৰিলো বুলি কলো,AgrYes_MixNo,নকৰিলো,,,{system}/no_apostrophe/utt023.wav
job0069,utt023,target_only,নকৰিলো,AgrYes_MixNo,নকৰিলো,,,{system}/target_only/utt023.wav
job0070,utt024,orig,মই হাতকেৰেয়া বুলি ক'লো,AgrYes_MixNo,হাতকেৰেয়া,,,{system}/orig/utt024.wav
job0071,utt024,no_apostrophe,মই হাতকেৰেয়া বুলি কলো,AgrYes_MixNo,হাতকেৰেয়া,,,{system}/no_apostrophe/utt024.wav
job0072,utt024,target_only,হাতকেৰেয়া,AgrYes_MixNo,হাতকেৰেয়া,,,{system}/target_only/utt024.wav
job0073,utt025,orig,মই গৰম বুলি ক'লো,AgrYes_MixNo,গৰম,,,{system}/orig/utt025.wav
job0074,utt025,no_apostrophe,মই গৰম বুলি কলো,AgrYes_MixNo,গৰম,,,{system}/no_apostrophe/utt025.wav
job0075,utt025,target_only,গৰম,AgrYes_MixNo,গৰম,,,{system}/target_only/utt025.wav
job0076,utt026,orig,মই কৰবি বুলি ক'লো,AgrYes_MixNo,কৰবি,,,{system}/orig/utt026.wav
job0077,utt026,no_apostrophe,মই কৰবি বুলি কলো,AgrYes_MixNo,কৰবি,,,{system}/no_apostrophe/utt026.wav
job0078,utt026,target_only,কৰবি,AgrYes_MixNo,কৰবি,,,{system}/target_only/utt026.wav
job0079,utt027,orig,মই গৰমত বুলি ক'লো,AgrYes_MixNo,গৰমত,,,{system}/orig/utt027.wav
job0080,utt027,no_apostrophe,মই গৰমত বুলি কলো,AgrYes_MixNo,গৰমত,,,{system}/no_apostrophe/utt027.wav
job0081,utt027,target_only,গৰমত,AgrYes_MixNo,গৰমত,,,{system}/target_only/utt027.wav
job0082,utt028,orig,মই কবিতা বুলি ক'লো,AgrYes_MixNo,কবিতা,,,{system}/orig/utt028.wav
job0083,utt028,no_apostrophe,মই কবিতা বুলি কলো,AgrYes_MixNo,কবিতা,,,{system}/no_apostrophe/utt028.wav
job0084,utt028,target_only,কবিতা,AgrYes_MixNo,কবিতা,,,{system}/target_only/utt028.wav
job0085,utt029,orig,মই পাপৰী বুলি ক'লো,AgrYes_MixYes,পাপৰী,,,{system}/orig/utt029.wav
job0086,utt029,no_apostrophe,মই পাপৰী বুলি কলো,AgrYes_MixYes,পাপৰী,,,{system}/no_apostrophe/utt029.wav
job0087,utt029,target_only,পাপৰী,AgrYes_MixYes,পাপৰী,,,{system}/target_only/utt029.wav
job0088,utt030,orig,মই বদলি বুলি ক'লো,AgrYes_MixNo,বদলি,,,{system}/orig/utt030.wav
job0089,utt030,no_apostrophe,মই বদলি বুলি কলো,AgrYes_MixNo,বদলি,,,{system}/no_apostrophe/utt030.wav
job0090,utt030,target_only,বদলি,AgrYes_MixNo,বদলি,,,{system}/target_only/utt030.wav
job0091,utt031,orig,মই বৰষুণ বুলি ক'লো,AgrYes_MixNo,বৰষুণ,,,{system}/orig/utt031.wav
job0092,utt031,no_apostrophe,মই বৰষুণ বুলি কলো,AgrYes_MixNo,বৰষুণ,,,{system}/no_apostrophe/utt031.wav
job0093,utt031,target_only,বৰষুণ,AgrYes_MixNo,বৰষুণ,,,{system}/target_only/utt031.wav
job0094,utt032,orig,মই কৰিবলগীয়া বুলি ক'লো,AgrYes_MixNo,কৰিবলগীয়া,,,{system}/orig/utt032.wav
job0095,utt032,no_apostrophe,মই কৰিবলগীয়া বুলি কলো,AgrYes_MixNo,কৰিবলগীয়া,,,{system}/no_apostrophe/utt032.wav
job0096,utt032,target_only,কৰিবলগীয়া,AgrYes_MixNo,কৰিবলগীয়া,,,{system}/target_only/utt032.wav
job0097,utt033,orig,মই প্রহৰী বুলি ক'লো,AgrYes_MixNo,প্রহৰী,,,{system}/orig/utt033.wav
job0098,utt033,no_apostrophe,মই প্রহৰী বুলি কলো,AgrYes_MixNo,প্রহৰী,,,{system}/no_apostrophe/utt033.wav
job0099,utt033,target_only,প্রহৰী,AgrYes_MixNo,প্রহৰী,,,{system}/target_only/utt033.wav
job0100,utt034,orig,মই বগৰী বুলি ক'লো,AgrYes_MixNo,বগৰী,,,{system}/orig/utt034.wav
job0101,utt034,no_apostrophe,মই বগৰী বুলি কলো,AgrYes_MixNo,বগৰী,,,{system}/no_apostrophe/utt034.wav
job0102,utt034,target_only,বগৰী,AgrYes_MixNo,বগৰী,,,{system}/target_only/utt034.wav
job0103,utt035,orig,মই আপদিয়া বুলি ক'লো,AgrYes_MixYes,আপদিয়া,,,{system}/orig/utt035.wav
job0104,utt035,no_apostrophe,মই আপদিয়া বুলি কলো,AgrYes_MixYes,আপদিয়া,,,{system}/no_apostrophe/utt035.wav
job0105,utt035,target_only,আপদিয়া,AgrYes_MixYes,আপদিয়া,,,{system}/target_only/utt035.wav
job0106,utt036,orig,মই অশ্লীল বুলি ক'লো,AgrNo_MixYes,অশ্লীল,,,{system}/orig/utt036.wav
job0107,utt036,no_apostrophe,মই অশ্লীল বুলি কলো,AgrNo_MixYes,অশ্লীল,,,{system}/no_apostrophe/utt036.wav
job0108,utt036,target_only,অশ্লীল,AgrNo_MixYes,অশ্লীল,,,{system}/target_only/utt036.wav
job0109,utt037,orig,মই সৰকি বুলি ক'লো,AgrYes_MixNo,সৰকি,,,{system}/orig/utt037.wav
job0110,utt037,no_apostrophe,মই সৰকি বুলি কলো,AgrYes_MixNo,সৰকি,,,{system}/no_apostrophe/utt037.wav
job0111,utt037,target_only,সৰকি,AgrYes_MixNo,সৰকি,,,{system}/target_only/utt037.wav
job0112,utt038,orig,মই সোনাৰু বুলি ক'লো,AgrYes_MixNo,সোনাৰু,,,{system}/orig/utt038.wav
job0113,utt038,no_apostrophe,মই সোনাৰু বুলি কলো,AgrYes_MixNo,সোনাৰু,,,{system}/no_apostrophe/utt038.wav
job0114,utt038,target_only,সোনাৰু,AgrYes_MixNo,সোনাৰু,,,{system}/target_only/utt038.wav
job0115,utt039,orig,মই জোনাক বুলি ক'লো,AgrYes_MixNo,জোনাক,,,{system}/orig/utt039.wav
job0116,utt039,no_apostrophe,মই জোনাক বুলি কলো,AgrYes_MixNo,জোনাক,,,{system}/no_apostrophe/utt039.wav
job0117,utt039,target_only,জোনাক,AgrYes_MixNo,জোনাক,,,{system}/target_only/utt039.wav
job0118,utt040,orig,মই জোনাকি বুলি ক'লো,AgrYes_MixYes,জোনাকি,,,{system}/orig/utt040.wav
job0119,utt040,no_apostrophe,মই জোনাকি বুলি কলো,AgrYes_MixYes,জোনাকি,,,{system}/no_apostrophe/utt040.wav
job0120,utt040,target_only,জোনাকি,AgrYes_MixYes,জোনাকি,,,{system}/target_only/utt040.wav
job0121,utt041,orig,মই পোহৰ বুলি ক'লো,AgrYes_MixNo,পোহৰ,,,{system}/orig/utt041.wav
job0122,utt041,no_apostrophe,মই পোহৰ বুলি কলো,AgrYes_MixNo,পোহৰ,,,{system}/no_apostrophe/utt041.wav
job0123,utt041,target_only,পোহৰ,AgrYes_MixNo,পোহৰ,,,{system}/target_only/utt041.wav
job0124,utt042,orig,মই গোহালি বুলি ক'লো,AgrNo_MixYes,গোহালি,,,{system}/orig/utt042.wav
job0125,utt042,no_apostrophe,মই গোহালি বুলি কলো,AgrNo_MixYes,গোহালি,,,{system}/no_apostrophe/utt042.wav
job0126,utt042,target_only,গোহালি,AgrNo_MixYes,গোহালি,,,{system}/target_only/utt042.wav
job0127,utt043,orig,মই গচকি বুলি ক'লো,AgrYes_MixNo,গচকি,,,{system}/orig/utt043.wav
job0128,utt043,no_apostrophe,মই গচকি বুলি কলো,AgrYes_MixNo,গচকি,,,{system}/no_apostrophe/utt043.wav
job0129,utt043,target_only,গচকি,AgrYes_MixNo,গচকি,,,{system}/target_only/utt043.wav
job0130,utt044,orig,মই দিলে বুলি ক'লো,AgrYes_MixNo,দিলে,,,{system}/orig/utt044.wav
job0131,utt044,no_apostrophe,মই দিলে বুলি কলো,AgrYes_MixNo,দিলে,,,{system}/no_apostrophe/utt044.wav
job0132,utt044,target_only,দিলে,AgrYes_MixNo,দিলে,,,{system}/target_only/utt044.wav
job0133,utt045,orig,মই দিলেই বুলি ক'লো,AgrYes_MixNo,দিলেই,,,{system}/orig/utt045.wav
job0134,utt045,no_apostrophe,মই দিলেই বুলি কলো,AgrYes_MixNo,দিলেই,,,{system}/no_apostrophe/utt045.wav
job0135,utt045,target_only,দিলেই,AgrYes_MixNo,দিলেই,,,{system}/target_only/utt045.wav
job0136,utt046,orig,মই দিলেতো বুলি ক'লো,AgrNo_MixYes,দিলেতো,,,{system}/orig/utt046.wav
job0137,utt046,no_apostrophe,মই দিলেতো বুলি কলো,AgrNo_MixYes,দিলেতো,,,{system}/no_apostrophe/utt046.wav
job0138,utt046,target_only,দিলেতো,AgrNo_MixYes,দিলেতো,,,{system}/target_only/utt046.wav
job0139,utt047,orig,মই দিলেনে বুলি ক'লো,AgrYes_MixNo,দিলেনে,,,{system}/orig/utt047.wav
job0140,utt047,no_apostrophe,মই দিলেনে বুলি কলো,AgrYes_MixNo,দিলেনে,,,{system}/no_apostrophe/utt047.wav
job0141,utt047,target_only,দিলেনে,AgrYes_MixNo,দিলেনে,,,{system}/target_only/utt047.wav
job0142,utt048,orig,মই দিলো বুলি ক'লো,AgrYes_MixNo,দিলো,,,{system}/orig/utt048.wav
job0143,utt048,no_apostrophe,মই দিলো বুলি কলো,AgrYes_MixNo,দিলো,,,{system}/no_apostrophe/utt048.wav
job0144,utt048,target_only,দিলো,AgrYes_MixNo,দিলো,,,{system}/target_only/utt048.wav
job0145,utt049,orig,মই দেখিছিলিনে বুলি ক'লো,AgrYes_MixNo,দেখিছিলিনে,,,{system}/orig/utt049.wav
job0146,utt049,no_apostrophe,মই দেখিছিলিনে বুলি কলো,AgrYes_MixNo,দেখিছিলিনে,,,{system}/no_apostrophe/utt049.wav
job0147,utt049,target_only,দেখিছিলিনে,AgrYes_MixNo,দেখিছিলিনে,,,{system}/target_only/utt049.wav
job0148,utt050,orig,মই দেখিছিলো বুলি ক'লো,AgrYes_MixNo,দেখিছিলো,,,{system}/orig/utt050.wav
job0149,utt050,no_apostrophe,মই দেখিছিলো বুলি কলো,AgrYes_MixNo,দেখিছিলো,,,{system}/no_apostrophe/utt050.wav
job0150,utt050,target_only,দেখিছিলো,AgrYes_MixNo,দেখিছিলো,,,{system}/target_only/utt050.wav
job0151,utt051,orig,মই দেখিছো বুলি ক'লো,AgrYes_MixNo,দেখিছো,,,{system}/orig/utt051.wav
job0152,utt051,no_apostrophe,মই দেখিছো বুলি কলো,AgrYes_MixNo,দেখিছো,,,{system}/no_apostrophe/utt051.wav
job0153,utt051,target_only,দেখিছো,AgrYes_MixNo,দেখিছো,,,{system}/target_only/utt051.wav
job0154,utt052,orig,মই দেখিলে বুলি ক'লো,AgrYes_MixNo,দেখিলে,,,{system}/orig/utt052.wav
job0155,utt052,no_apostrophe,মই দেখিলে বুলি কলো,AgrYes_MixNo,দেখিলে,,,{system}/no_apostrophe/utt052.wav
job0156,utt052,target_only,দেখিলে,AgrYes_MixNo,দেখিলে,,,{system}/target_only/utt052.wav
job0157,utt053,orig,মই একেডালে বুলি ক'লো,AgrYes_MixNo,একেডালে,,,{system}/orig/utt053.wav
job0158,utt053,no_apostrophe,মই একেডালে বুলি কলো,AgrYes_MixNo,একেডালে,,,{system}/no_apostrophe/utt053.wav
job0159,utt053,target_only,একেডালে,AgrYes_MixNo,একেডালে,,,{system}/target_only/utt053.wav
job0160,utt054,orig,মই দেখিলো বুলি ক'লো,AgrYes_MixNo,দেখিলো,,,{system}/orig/utt054.wav
job0161,utt054,no_apostrophe,মই দেখিলো বুলি কলো,AgrYes_MixNo,দেখিলো,,,{system}/no_apostrophe/utt054.wav
job0162,utt054,target_only,দেখিলো,AgrYes_MixNo,দেখিলো,,,{system}/target_only/utt054.wav
job0163,utt055,orig,মই একেবাৰে বুলি ক'লো,AgrYes_MixNo,একেবাৰে,,,{system}/orig/utt055.wav
job0164,utt055,no_apostrophe,মই একেবাৰে বুলি কলো,AgrYes_MixNo,একেবাৰে,,,{system}/no_apostrophe/utt055.wav
job0165,utt055,target_only,একেবাৰে,AgrYes_MixNo,একেবাৰে,,,{system}/target_only/utt055.wav
job0166,utt057,orig,মই দেখিয়েই বুলি ক'লো,AgrYes_MixNo,দেখিয়েই,,,{system}/orig/utt057.wav
job0167,utt057,no_apostrophe,মই দেখিয়েই বুলি কলো,AgrYes_MixNo,দেখিয়েই,,,{system}/no_apostrophe/utt057.wav
job0168,utt057,target_only,দেখিয়েই,AgrYes_MixNo,দেখিয়েই,,,{system}/target_only/utt057.wav
job0169,utt058,orig,মই দেখুৱাবলৈ বুলি ক'লো,AgrYes_MixNo,দেখুৱাবলৈ,,,{system}/orig/utt058.wav
job0170,utt058,no_apostrophe,মই দেখুৱাবলৈ বুলি কলো,AgrYes_MixNo,দেখুৱাবলৈ,,,{system}/no_apostrophe/utt058.wav
job0171,utt058,target_only,দেখুৱাবলৈ,AgrYes_MixNo,দেখুৱাবলৈ,,,{system}/target_only/utt058.wav
job0172,utt059,orig,মই পালো বুলি ক'লো,AgrYes_MixNo,পালো,,,{system}/orig/utt059.wav
job0173,utt059,no_apostrophe,মই পালো বুলি কলো,AgrYes_MixNo,পালো,,,{system}/no_apostrophe/utt059.wav
job0174,utt059,target_only,পালো,AgrYes_MixNo,পালো,,,{system}/target_only/utt059.wav
job0175,utt060,orig,মই পাহৰি বুলি ক'লো,AgrYes_MixYes,পাহৰি,,,{system}/orig/utt060.wav
job0176,utt060,no_apostrophe,মই পাহৰি বুলি কলো,AgrYes_MixYes,পাহৰি,,,{system}/no_apostrophe/utt060.wav
job0177,utt060,target_only,পাহৰি,AgrYes_MixYes,পাহৰি,,,{system}/target_only/utt060.wav
job0178,utt062,orig,মই পালেনে বুলি ক'লো,AgrYes_MixNo,পালেনে,,,{system}/orig/utt062.wav
job0179,utt062,no_apostrophe,মই পালেনে বুলি কলো,AgrYes_MixNo,পালেনে,,,{system}/no_apostrophe/utt062.wav
job0180,utt062,target_only,পালেনে,AgrYes_MixNo,পালেনে,,,{system}/target_only/utt062.wav
job0181,utt063,orig,মই বেচেৰী বুলি ক'লো,AgrYes_MixNo,বেচেৰী,,,{system}/orig/utt063.wav
job0182,utt063,no_apostrophe,মই বেচেৰী বুলি কলো,AgrYes_MixNo,বেচেৰী,,,{system}/no_apostrophe/utt063.wav
job0183,utt063,target_only,বেচেৰী,AgrYes_MixNo,বেচেৰী,,,{system}/target_only/utt063.wav
job0184,utt064,orig,মই ফেদেলি বুলি ক'লো,AgrYes_MixNo,ফেদেলি,,,{system}/orig/utt064.wav
job0185,utt064,no_apostrophe,মই ফেদেলি বুলি কলো,AgrYes_MixNo,ফেদেলি,,,{system}/no_apostrophe/utt064.wav
job0186,utt064,target_only,ফেদেলি,AgrYes_MixNo,ফেদেলি,,,{system}/target_only/utt064.wav
job0187,utt065,orig,মই পেটেলি বুলি ক'লো,AgrYes_MixNo,পেটেলি,,,{system}/orig/utt065.wav
job0188,utt065,no_apostrophe,মই পেটেলি বুলি কলো,AgrYes_MixNo,পেটেলি,,,{system}/no_apostrophe/utt065.wav
job0189,utt065,target_only,পেটেলি,AgrYes_MixNo,পেটেলি,,,{system}/target_only/utt065.wav
job0190,utt066,orig,মই চেদেলি ভেদেলি বুলি ক'লো,AgrYes_MixNo,চেদেলি ভেদেলি,,,{system}/orig/utt066.wav
job0191,utt066,no_apostrophe,মই চেদেলি ভেদেলি বুলি কলো,AgrYes_MixNo,চেদেলি ভেদেলি,,,{system}/no_apostrophe/utt066.wav
job0192,utt066,target_only,চেদেলি ভেদেলি,AgrYes_MixNo,চেদেলি ভেদেলি,,,{system}/target_only/utt066.wav
job0193,utt067,orig,মই লেটেকু বুলি ক'লো,AgrYes_MixNo,লেটেকু,,,{system}/orig/utt067.wav
job0194,utt067,no_apostrophe,মই লেটেকু বুলি কলো,AgrYes_MixNo,লেটেকু,,,{system}/no_apostrophe/utt067.wav
job0195,utt067,target_only,লেটেকু,AgrYes_MixNo,লেটেকু,,,{system}/target_only/utt067.wav
job0196,utt068,orig,মই মেলেৰিয়া বুলি ক'লো,AgrYes_MixYes,মেলেৰিয়া,,,{system}/orig/utt068.wav
job0197,utt068,no_apostrophe,মই মেলেৰিয়া বুলি কলো,AgrYes_MixYes,মেলেৰিয়া,,,{system}/no_apostrophe/utt068.wav
job0198,utt068,target_only,মেলেৰিয়া,AgrYes_MixYes,মেলেৰিয়া,,,{system}/target_only/utt068.wav
job0199,utt069,orig,মই চেঙেলীয়া বুলি ক'লো,AgrYes_MixYes,চেঙেলীয়া,,,{system}/orig/utt069.wav
job0200,utt069,no_apostrophe,মই চেঙেলীয়া বুলি কলো,AgrYes_MixYes,চেঙেলীয়া,,,{system}/no_apostrophe/utt069.wav
job0201,utt069,target_only,চেঙেলীয়া,AgrYes_MixYes,চেঙেলীয়া,,,{system}/target_only/utt069.wav
job0202,utt070,orig,মই পদবি বুলি ক'লো,AgrYes_MixNo,পদবি,,,{system}/orig/utt070.wav
job0203,utt070,no_apostrophe,মই পদবি বুলি কলো,AgrYes_MixNo,পদবি,,,{system}/no_apostrophe/utt070.wav
job0204,utt070,target_only,পদবি,AgrYes_MixNo,পদবি,,,{system}/target_only/utt070.wav
job0205,utt071,orig,মই আলসুৱা বুলি ক'লো,AgrYes_MixYes,আলসুৱা,,,{system}/orig/utt071.wav
job0206,utt071,no_apostrophe,মই আলসুৱা বুলি কলো,AgrYes_MixYes,আলসুৱা,,,{system}/no_apostrophe/utt071.wav
job0207,utt071,target_only,আলসুৱা,AgrYes_MixYes,আলসুৱা,,,{system}/target_only/utt071.wav
job0208,utt072,orig,মই অলস বুলি ক'লো,AgrYes_MixNo,অলস,,,{system}/orig/utt072.wav
job0209,utt072,no_apostrophe,মই অলস বুলি কলো,AgrYes_MixNo,অলস,,,{system}/no_apostrophe/utt072.wav
job0210,utt072,target_only,অলস,AgrYes_MixNo,অলস,,,{system}/target_only/utt072.wav
job0211,utt073,orig,মই আলাশ বুলি ক'লো,AgrYes_MixNo,আলাশ,,,{system}/orig/utt073.wav
job0212,utt073,no_apostrophe,মই আলাশ বুলি কলো,AgrYes_MixNo,আলাশ,,,{system}/no_apostrophe/utt073.wav
job0213,utt073,target_only,আলাশ,AgrYes_MixNo,আলাশ,,,{system}/target_only/utt073.wav
job0214,utt074,orig,মই এলাহ বুলি ক'লো,AgrYes_MixNo,এলাহ,,,{system}/orig/utt074.wav
job0215,utt074,no_apostrophe,মই এলাহ বুলি কলো,AgrYes_MixNo,এলাহ,,,{system}/no_apostrophe/utt074.wav
job0216,utt074,target_only,এলাহ,AgrYes_MixNo,এলাহ,,,{system}/target_only/utt074.wav
job0217,utt075,orig,মই এলেহুৱা বুলি ক'লো,AgrYes_MixNo,এলেহুৱা,,,{system}/orig/utt075.wav
